Symbol,Name,Sector
A,Agilent Technologies,Health Care
AAL,American Airlines Group,Industrials
AAPL,Apple Inc.,Information Technology
ABBV,AbbVie,Health Care
ABNB,Airbnb,Consumer Discretionary
ABT,Abbott Laboratories,Health Care
ACGL,Arch Capital Group,Financials
ACN,Accenture,Information Technology
ADBE,Adobe Inc.,Information Technology
ADI,Analog Devices,Information Technology
ADM,Archer-Daniels-Midland,Consumer Staples
ADSK,Autodesk,Information Technology
ADT,ADT Inc.,Industrials
AEE,Ameren,Utilities
AEP,American Electric Power,Utilities
AES,AES Corporation,Utilities
AFL,Aflac,Financials
AIG,American International Group,Financials
AIZ,Assurant,Financials
AJG,Arthur J. Gallagher & Co.,Financials
AKAM,Akamai Technologies,Information Technology
ALB,Albemarle Corporation,Materials
ALGN,Align Technology,Health Care
ALXN,Alexion Pharmaceuticals,Health Care
ALL,Allstate,Financials
ALLE,Allegion,Industrials
AMAT,Applied Materials,Information Technology
AMCR,Amcor,Materials
AMD,Advanced Micro Devices,Information Technology
AME,Ametek,Industrials
AMGN,Amgen,Health Care
AMP,Ameriprise Financial,Financials
AMT,American Tower,Real Estate
AMZN,Amazon,Consumer Discretionary
ANET,Arista Networks,Information Technology
ANSS,Ansys,Information Technology
AON,Aon plc,Financials
AOS,A. O. Smith,Industrials
APA,APA Corporation,Energy
APD,Air Products,Materials
APH,Amphenol,Information Technology
APO,Apollo Global Management,Financials
APP,AppLovin Corp,Information Technology
APTV,Aptiv,Consumer Discretionary
ARE,Alexandria Real Estate Equities,Real Estate
ATO,Atmos Energy,Utilities
AVB,AvalonBay Communities,Real Estate
AVGO,Broadcom Inc.,Information Technology
AVY,Avery Dennison,Materials
AWK,American Water Works,Utilities
AXON,Axon Enterprise,Industrials
AXP,American Express,Financials
AZO,AutoZone,Consumer Discretionary
BA,Boeing,Industrials
BAC,Bank of America,Financials
BALL,Ball Corporation,Materials
BAX,Baxter International,Health Care
BBY,Best Buy,Consumer Discretionary
BDX,Becton Dickinson,Health Care
BEN,Franklin Resources,Financials
BF.B,Brown-Forman,Consumer Staples
BIIB,Biogen,Health Care
BIO,Bio-Rad Laboratories,Health Care
BK,BNY Mellon,Financials
BKNG,Booking Holdings,Consumer Discretionary
BKR,Baker Hughes,Energy
BLDR,Builders FirstSource,Industrials
BLK,BlackRock,Financials
BMY,Bristol Myers Squibb,Health Care
BR,Broadridge Financial Solutions,Information Technology
BRK.B,Berkshire Hathaway,Financials
BRO,Brown & Brown,Financials
BSX,Boston Scientific,Health Care
BXP,BXP Inc.,Real Estate
C,Citigroup,Financials
CAG,Conagra Brands,Consumer Staples
CAH,Cardinal Health,Health Care
CARR,Carrier Global,Industrials
CAT,Caterpillar Inc.,Industrials
CB,Chubb Limited,Financials
CBOE,Cboe Global Markets,Financials
CBRE,CBRE Group,Real Estate
CCI,Crown Castle,Real Estate
CCK,Crown Holdings,Materials
CCL,Carnival Corporation,Consumer Discretionary
CDNS,Cadence Design Systems,Information Technology
CDW,CDW,Information Technology
CE,Celanese,Materials
CEG,Constellation Energy,Utilities
CF,CF Industries,Materials
CFG,Citizens Financial Group,Financials
CHD,Church & Dwight,Consumer Staples
CHRW,C.H. Robinson,Industrials
CHTR,Charter Communications,Communication Services
CI,Cigna,Health Care
CINF,Cincinnati Financial,Financials
CL,Colgate-Palmolive,Consumer Staples
CLX,Clorox,Consumer Staples
CMA,Comerica,Financials
CMCSA,Comcast,Communication Services
CME,CME Group,Financials
CMG,Chipotle Mexican Grill,Consumer Discretionary
CMI,Cummins,Industrials
CMS,CMS Energy,Utilities
CNC,Centene Corporation,Health Care
CNP,CenterPoint Energy,Utilities
COF,Capital One,Financials
COO,The Cooper Companies,Health Care
COP,ConocoPhillips,Energy
COST,Costco,Consumer Staples
CPB,Campbell Soup,Consumer Staples
CPRT,Copart,Industrials
CPAY,Corpay,Financials
CPT,Camden Property Trust,Real Estate
CRL,Charles River Laboratories,Health Care
CRM,Salesforce,Information Technology
CRWD,CrowdStrike,Information Technology
CSCO,Cisco,Information Technology
CSGP,CoStar Group,Real Estate
CSX,CSX Corporation,Industrials
CTAS,Cintas,Industrials
CTRA,Coterra,Energy
CTSH,Cognizant,Information Technology
CTVA,Corteva,Materials
CVS,CVS Health,Health Care
CVX,Chevron Corporation,Energy
CZR,Caesars Entertainment,Consumer Discretionary
D,Dominion Energy,Utilities
DAL,Delta Air Lines,Industrials
DD,DuPont,Materials
DE,Deere & Company,Industrials
DELL,Dell Technologies,Information Technology
DFS,Discover Financial Services,Financials
DG,Dollar General,Consumer Discretionary
DGX,Quest Diagnostics,Health Care
DHI,D.R. Horton,Consumer Discretionary
DHR,Danaher Corporation,Health Care
